Date,Ozone_AQI_Value,Site Name,Site ID,Source
6/21/2017,100,Heath,39-089-0005,AQS
6/22/2017,42,New Albany,39-049-0029,AQS
6/23/2017,32,London,39-097-0007,AQS
6/24/2017,40,New Albany,39-049-0029,AQS
6/25/2017,40,New Albany,39-049-0029,AQS
6/26/2017,36,New Albany,39-049-0029,AQS
6/27/2017,34,New Albany,39-049-0029,AQS
6/28/2017,50,New Albany,39-049-0029,AQS
6/29/2017,48,Delaware,39-041-0002,AQS
6/30/2017,30,Delaware,39-041-0002,AQS
7/1/2017,44,New Albany,39-049-0029,AQS
7/2/2017,48,New Albany,39-049-0029,AQS
7/3/2017,71,Heath,39-089-0005,AQS
7/4/2017,48,London,39-097-0007,AQS
7/5/2017,64,FRANKLIN_PK,39-049-0037,AQS
7/6/2017,41,New Albany,39-049-0029,AQS
7/7/2017,50,New Albany,39-049-0029,AQS
7/8/2017,35,New Albany,39-049-0029,AQS
7/9/2017,44,New Albany,39-049-0029,AQS
7/10/2017,44,London,39-097-0007,AQS
7/11/2017,46,New Albany,39-049-0029,AQS
7/12/2017,61,New Albany,39-049-0029,AQS
7/13/2017,36,New Albany,39-049-0029,AQS
7/14/2017,48,Heath,39-089-0005,AQS
7/15/2017,41,New Albany,39-049-0029,AQS
7/16/2017,49,New Albany,39-049-0029,AQS
7/17/2017,50,FRANKLIN_PK,39-049-0037,AQS
7/18/2017,84,New Albany,39-049-0029,AQS
7/19/2017,97,New Albany,39-049-0029,AQS
7/20/2017,54,New Albany,39-049-0029,AQS
7/21/2017,44,New Albany,39-049-0029,AQS
7/22/2017,41,New Albany,39-049-0029,AQS
7/23/2017,40,New Albany,39-049-0029,AQS
7/24/2017,40,New Albany,39-049-0029,AQS
7/25/2017,41,London,39-097-0007,AQS
7/26/2017,50,Delaware,39-041-0002,AQS
7/27/2017,38,New Albany,39-049-0029,AQS
7/28/2017,44,New Albany,39-049-0029,AQS
7/29/2017,37,New Albany,39-049-0029,AQS
7/30/2017,27,London,39-097-0007,AQS
7/31/2017,47,FRANKLIN_PK,39-049-0037,AQS
8/1/2017,71,New Albany,39-049-0029,AQS
8/2/2017,51,London,39-097-0007,AQS
8/3/2017,50,New Albany,39-049-0029,AQS
8/4/2017,36,New Albany,39-049-0029,AQS
8/5/2017,32,New Albany,39-049-0029,AQS
8/6/2017,33,Maple Canyon,39-049-0081,AQS
8/7/2017,37,London,39-097-0007,AQS
8/8/2017,38,New Albany,39-049-0029,AQS
8/9/2017,58,Maple Canyon,39-049-0081,AQS
8/10/2017,58,New Albany,39-049-0029,AQS
8/11/2017,67,London,39-097-0007,AQS
8/12/2017,42,New Albany,39-049-0029,AQS
8/13/2017,44,London,39-097-0007,AQS
8/14/2017,51,New Albany,39-049-0029,AQS
8/15/2017,50,Heath,39-089-0005,AQS
8/16/2017,71,Maple Canyon,39-049-0081,AQS
8/17/2017,29,New Albany,39-049-0029,AQS
8/18/2017,41,London,39-097-0007,AQS
8/19/2017,47,London,39-097-0007,AQS
8/20/2017,54,New Albany,39-049-0029,AQS
8/21/2017,54,New Albany,39-049-0029,AQS
8/22/2017,36,New Albany,39-049-0029,AQS
8/23/2017,33,New Albany,39-049-0029,AQS
8/24/2017,39,New Albany,39-049-0029,AQS
8/25/2017,40,Maple Canyon,39-049-0081,AQS
8/26/2017,44,London,39-097-0007,AQS
8/27/2017,61,London,39-097-0007,AQS
8/28/2017,37,New Albany,39-049-0029,AQS
8/29/2017,43,Maple Canyon,39-049-0081,AQS
8/30/2017,47,London,39-097-0007,AQS
8/31/2017,44,London,39-097-0007,AQS
9/1/2017,26,Maple Canyon,39-049-0081,AQS
9/2/2017,19,New Albany,39-049-0029,AQS
9/3/2017,40,New Albany,39-049-0029,AQS
9/4/2017,44,New Albany,39-049-0029,AQS
9/5/2017,37,New Albany,39-049-0029,AQS
9/6/2017,31,New Albany,39-049-0029,AQS
9/7/2017,24,New Albany,39-049-0029,AQS
9/8/2017,30,New Albany,39-049-0029,AQS
9/9/2017,35,New Albany,39-049-0029,AQS
9/10/2017,34,London,39-097-0007,AQS
9/11/2017,32,New Albany,39-049-0029,AQS
9/12/2017,31,New Albany,39-049-0029,AQS
9/13/2017,26,New Albany,39-049-0029,AQS
