Date,Ozone_AQI_Value,Site Name,Site ID,Source
8/18/2016,44,Berea BOE,39-035-0064,AQS
8/19/2016,61,Eastlake,39-085-0003,AQS
8/20/2016,45,Eastlake,39-085-0003,AQS
8/21/2016,32,Notre Dame,39-055-0004,AQS
8/22/2016,32,Chippewa,39-103-0004,AQS
8/23/2016,50,Notre Dame,39-055-0004,AQS
8/24/2016,45,Eastlake,39-085-0003,AQS
8/25/2016,46,Eastlake,39-085-0003,AQS
8/26/2016,48,Chippewa,39-103-0004,AQS
8/27/2016,67,Mayfield,39-035-5002,AQS
8/28/2016,44,Eastlake,39-085-0003,AQS
8/29/2016,47,Chippewa,39-103-0004,AQS
8/30/2016,74,Sheffield,39-093-0018,AQS
8/31/2016,44,Chippewa,39-103-0004,AQS
9/1/2016,24,Chippewa,39-103-0004,AQS
9/2/2016,31,Eastlake,39-085-0003,AQS
9/3/2016,36,Chippewa,39-103-0004,AQS
9/4/2016,49,Chippewa,39-103-0004,AQS
9/5/2016,58,Notre Dame,39-055-0004,AQS
9/6/2016,51,Eastlake,39-085-0003,AQS
9/7/2016,46,Notre Dame,39-055-0004,AQS
9/8/2016,38,Eastlake,39-085-0003,AQS
9/9/2016,40,Notre Dame,39-055-0004,AQS
9/10/2016,37,Eastlake,39-085-0003,AQS
9/11/2016,30,Chippewa,39-103-0004,AQS
9/12/2016,42,Notre Dame,39-055-0004,AQS
9/13/2016,64,Eastlake,39-085-0003,AQS
9/14/2016,37,Notre Dame,39-055-0004,AQS
9/15/2016,31,Sheffield,39-093-0018,AQS
9/16/2016,54,Mayfield,39-035-5002,AQS
9/17/2016,36,Mayfield,39-035-5002,AQS
9/18/2016,36,Mayfield,39-035-5002,AQS
9/19/2016,45,Chippewa,39-103-0004,AQS
9/20/2016,67,Notre Dame,39-055-0004,AQS
9/21/2016,64,Mayfield,39-035-5002,AQS
9/22/2016,119,Notre Dame,39-055-0004,AQS
9/23/2016,112,Notre Dame,39-055-0004,AQS
9/24/2016,36,Chippewa,39-103-0004,AQS
9/25/2016,41,Chippewa,39-103-0004,AQS
9/26/2016,31,Notre Dame,39-055-0004,AQS
9/27/2016,40,Notre Dame,39-055-0004,AQS
9/28/2016,39,Notre Dame,39-055-0004,AQS
9/29/2016,25,Notre Dame,39-055-0004,AQS
9/30/2016,20,Notre Dame,39-055-0004,AQS
10/1/2016,29,Chippewa,39-103-0004,AQS
10/2/2016,40,Notre Dame,39-055-0004,AQS
10/3/2016,41,Notre Dame,39-055-0004,AQS
10/4/2016,43,Chippewa,39-103-0004,AQS
10/5/2016,47,District 6,39-035-0034,AQS
10/6/2016,49,District 6,39-035-0034,AQS
10/7/2016,41,Notre Dame,39-055-0004,AQS
10/8/2016,37,Notre Dame,39-055-0004,AQS
10/9/2016,28,Eastlake,39-085-0003,AQS
10/10/2016,33,Notre Dame,39-055-0004,AQS
10/11/2016,31,Eastlake,39-085-0003,AQS
10/12/2016,61,Notre Dame,39-055-0004,AQS
10/13/2016,31,Notre Dame,39-055-0004,AQS
10/14/2016,30,Notre Dame,39-055-0004,AQS
10/15/2016,49,Notre Dame,39-055-0004,AQS
10/16/2016,44,Notre Dame,39-055-0004,AQS
10/17/2016,41,Notre Dame,39-055-0004,AQS
10/18/2016,39,Notre Dame,39-055-0004,AQS
10/19/2016,33,Notre Dame,39-055-0004,AQS
10/20/2016,34,Eastlake,39-085-0003,AQS
10/21/2016,33,Eastlake,39-085-0003,AQS
10/22/2016,29,District 6,39-035-0034,AQS
10/23/2016,41,Notre Dame,39-055-0004,AQS
10/24/2016,32,Notre Dame,39-055-0004,AQS
10/25/2016,31,Notre Dame,39-055-0004,AQS
