OBJECTID,Tree cover per capita (m2/person),Green space per capita (m2/person),Percent tree cover,Percent green space,Particulate matter [PM2.5] (kg/yr),Percent particulate matter [PM2.5] removed annually by tree cover
1942,118,190,30,48,33,12.855672955100001
1961,240,1004,11,49,99,5.22966750053
1965,57,161,18,51,42,8.06698525235
1966,55,206,13,49,21,5.8803296203199995
1967,34,141,12,50,19,5.39084972882
1968,66,253,12,46,24,5.299963572769999
1969,152,539,16,59,48,7.3110067578099995
1970,210,961,6,31,63,3.0831865164799996
1972,289,885,16,51,113,7.283070477460001
1973,207,293,49,70,115,20.1946707811
1974,301,452,49,74,229,20.0733053769
1975,118,256,30,67,35,13.104190937499999
1976,41,134,10,35,34,4.85998069879
1977,534,793,55,82,192,22.2461470651
1978,436,575,61,81,243,24.4581125422
1979,784,1094,60,84,305,23.976478689599997
1980,557,635,73,83,132,28.4566039317
1993,63,173,16,45,12,7.314453932239999
1994,29,100,12,43,10,5.6745016841
1995,37,105,16,45,10,7.14448577689
1996,126,248,29,58,36,12.8341238474
1997,677,1007,53,78,193,21.6768237936
1998,442,1191,26,72,182,11.6119905613
1999,37,109,15,44,13,6.7295274015699995
2000,240,628,22,60,175,10.022475256300002
2001,74,246,13,43,20,5.824887393540001
2002,36,129,12,44,9,5.62243259366
2003,148,481,15,50,61,6.946551998869999
2004,67,223,12,42,28,5.7249413446899995
2005,176,735,12,53,90,5.71766399378
2006,65,186,17,49,22,7.721130231669999
2007,596,996,44,74,192,18.4995962788
2008,237,494,24,51,85,10.8151285226
2009,134,414,17,54,56,7.79628046053
2010,50,161,15,49,19,6.86865312229
2011,22,101,8,38,7,3.82636642264
2012,22,82,10,38,6,4.61958736473
2013,76,240,18,59,21,8.30718649901
2014,44,145,14,47,15,6.45865932113
2015,37,148,11,47,9,5.345210128740001
2016,79,318,12,51,22,5.71002835221
2017,40,155,12,48,19,5.63703426676
2018,58,214,15,55,24,6.731605610700001
2019,94,230,23,57,36,10.3155704672
2020,39,135,13,46,10,6.0437202444
2021,46,130,16,46,18,7.28562906626
2022,318,675,28,59,186,12.1511704104
2023,851,1542,36,66,507,15.4887283819
2024,426,1323,24,75,577,10.4176239541
2025,331,693,33,70,156,14.265926439500001
2026,358,761,34,74,241,14.7100087508
2027,2211,4203,34,65,1175,14.7596821154
2028,799,1363,46,78,448,19.260712502399997
2029,601,1130,39,75,489,16.855420512400002
2030,1504,2304,50,77,480,20.7998094844
2031,3293,5052,55,85,1552,22.6878757662
2078,192,421,31,69,54,13.4426676948
2079,163,307,31,59,86,13.3810495095
2080,244,483,35,70,63,14.9069992071
2081,239,443,38,70,79,15.995459233200002
2082,208,345,41,68,101,17.289137951799997
2083,183,367,31,63,72,13.416102305899999
2084,186,338,34,62,51,14.536717994200002
2085,268,459,42,72,97,17.5886452597
2086,1409,2854,39,80,523,16.688707402
2087,178,385,27,58,84,11.6603796744
2088,180,457,24,61,61,10.494709369899999
2089,112,315,18,52,39,8.29004119089
2090,201,532,25,67,46,10.9019687069
2091,209,393,35,66,113,14.9016227926
2092,66,249,7,27,18,3.3228339971399996
2093,79,303,13,51,41,5.95531756881
2094,57,152,19,52,13,8.656506764000001
2095,84,186,26,59,20,11.5671544316
2096,195,369,34,64,44,14.597188905200001
2097,166,292,31,55,64,13.4610566136
2098,221,421,30,58,105,13.245546097300002
2099,82,208,22,57,55,9.98188215309
2100,151,305,32,65,44,13.8564994044
2101,63,164,21,55,24,9.270700427660001
2102,145,270,35,65,81,14.9212122374
2103,57,150,18,49,15,8.33713349641
2104,67,181,19,52,33,8.65505661365
2105,251,580,23,54,69,10.3794809948
2106,97,285,17,51,69,7.79504870511
2107,51,237,7,36,27,3.56067987259
2108,252,532,20,42,62,8.908379680929999
2109,170,432,18,45,84,7.975902850410001
2110,97,268,21,59,44,9.53557071503
2111,40,171,11,48,18,5.21127650161
2112,475,819,44,77,226,18.6388425073
2113,133,289,25,56,49,11.1709118173
2114,135,288,29,62,45,12.534773529199999
2115,126,269,26,55,34,11.2680466998
2123,81,255,15,47,38,6.63830365513
2124,87,248,18,52,55,8.09462635337
2126,430,1153,25,67,292,10.7951334333
2169,398,1001,31,78,205,12.4866050347
2171,634,1226,41,80,294,16.490338284899998
2172,374,823,35,77,236,14.022510844100001
2173,649,1077,49,81,226,19.2599669776
2178,691,1402,40,81,357,15.9719387977
2200,94,250,18,48,28,8.01884873141
2201,261,521,32,64,175,13.728402132500001
2202,41,133,15,49,29,6.792600094569999
2203,63,191,16,50,27,7.343418356499999
2204,35,133,12,46,8,5.47203916386
2205,49,148,13,40,24,5.9198117659000005
2206,255,400,44,69,100,18.441645334000004
2207,147,234,36,57,142,15.289857446
2223,123,285,25,59,88,11.1050764243
2224,69,178,19,50,60,8.66027496941
2225,690,1030,53,79,568,21.8428614247
2226,785,1371,44,77,417,18.496107319000004
2227,211,562,26,71,77,10.8627552781
2228,64,275,13,58,39,6.16892476863
2229,37,143,12,47,17,5.530993638209999
2230,211,485,28,66,203,12.4183228302
2231,191,617,22,71,122,9.09614619348
2261,1178,2171,44,82,779,18.4835570845
2262,1287,2116,49,80,645,20.1137543254
2264,1578,2340,56,83,1041,22.8103459154
2265,259,649,21,53,100,9.330358119400001
2266,312,540,39,68,86,16.4665268317
2267,238,706,24,73,94,10.7346885279
2268,550,965,45,79,217,18.7044369881
2269,688,1153,49,83,275,20.3025924995
2270,574,830,55,80,129,22.323934730999998
2271,474,895,42,79,150,17.4159110272
2272,791,1362,49,84,310,19.9916464614
2273,118,250,30,63,82,12.790773668800002
2274,254,1033,16,67,106,7.2336329374699995
2289,354,831,30,71,178,13.060077599
2290,281,502,38,68,127,16.0892058495
2291,462,851,41,77,458,17.534920064599998
