Date, AQI_Value,Main_Pollutant,Site_Name,Site_ID,Source
6/14/2019,54,Ozone,Middletown Airport,39-017-0018,AQS
6/15/2019,51,PM2.5,Cincinnati Near Road,39-061-0048,AQS
6/16/2019,44,Ozone,Middletown Airport,39-017-0018,AQS
6/17/2019,42,Ozone,Sycamore,39-061-0006,AQS
6/18/2019,42,Ozone,Sycamore,39-061-0006,AQS
6/19/2019,52,PM2.5,Cincinnati Near Road,39-061-0048,AQS
6/20/2019,42,Ozone,Oxford,39-017-9991,AQS
6/21/2019,51,Ozone,Taft NCore,39-061-0040,AQS
6/22/2019,44,Ozone,Middletown Airport,39-017-0018,AQS
6/23/2019,45,PM2.5,Yankee,39-017-0020,AQS
6/24/2019,36,Ozone,Middletown Airport,39-017-0018,AQS
6/25/2019,58,Ozone,Batavia,39-025-0022,AQS
6/26/2019,101,Ozone,Batavia,39-025-0022,AQS
6/27/2019,100,Ozone,Sycamore,39-061-0006,AQS
6/28/2019,97,Ozone,Sycamore,39-061-0006,AQS
6/29/2019,90,Ozone,Batavia,39-025-0022,AQS
6/30/2019,84,Ozone,Batavia,39-025-0022,AQS
7/1/2019,90,Ozone,Batavia,39-025-0022,AQS
7/2/2019,84,Ozone,Batavia,39-025-0022,AQS
7/3/2019,64,Ozone,Sycamore,39-061-0006,AQS
7/4/2019,78,PM2.5,Taft NCore,39-061-0040,AQS
7/5/2019,85,PM2.5,Cincinnati Near Road,39-061-0048,AQS
7/6/2019,56,PM2.5,Taft NCore,39-061-0040,AQS
7/7/2019,51,PM2.5,Taft NCore,39-061-0040,AQS
7/8/2019,58,PM2.5,Carthage,39-061-0014,AQS
7/9/2019,87,Ozone,Colerain,39-061-0010,AQS
7/10/2019,122,Ozone,Lebanon,39-165-0007,AQS
7/11/2019,80,Ozone,Batavia,39-025-0022,AQS
7/12/2019,100,Ozone,Batavia,39-025-0022,AQS
7/13/2019,140,Ozone,Batavia,39-025-0022,AQS
7/14/2019,119,Ozone,Sycamore,39-061-0006,AQS
7/15/2019,50,Ozone,Lebanon,39-165-0007,AQS
7/16/2019,33,PM2.5,Carthage,39-061-0014,AQS
7/17/2019,33,Ozone,Sycamore,39-061-0006,AQS
7/18/2019,44,Ozone,Lebanon,39-165-0007,AQS
7/19/2019,64,PM2.5,Taft NCore,39-061-0040,AQS
7/20/2019,59,PM2.5,Ohio Bell,39-017-0015,AQS
7/21/2019,53,PM2.5,Lebanon,39-165-0007,AQS
7/22/2019,33,PM2.5,Taft NCore,39-061-0040,AQS
7/23/2019,39,PM2.5,Taft NCore,39-061-0040,AQS
7/24/2019,55,PM2.5,Cincinnati Near Road,39-061-0048,AQS
7/25/2019,74,Ozone,Colerain,39-061-0010,AQS
7/26/2019,101,Ozone,Crawford Woods,39-017-0023,AQS
7/27/2019,90,Ozone,Taft NCore,39-061-0040,AQS
7/28/2019,77,Ozone,Lebanon,39-165-0007,AQS
7/29/2019,65,PM2.5,Yankee,39-017-0020,AQS
7/30/2019,46,PM2.5,Cincinnati Near Road,39-061-0048,AQS
7/31/2019,67,Ozone,Batavia,39-025-0022,AQS
8/1/2019,87,Ozone,Taft NCore,39-061-0040,AQS
8/2/2019,84,Ozone,Colerain,39-061-0010,AQS
8/3/2019,97,Ozone,Sycamore,39-061-0006,AQS
8/4/2019,90,Ozone,Colerain,39-061-0010,AQS
8/5/2019,105,Ozone,Batavia,39-025-0022,AQS
8/6/2019,71,Ozone,Lebanon,39-165-0007,AQS
8/7/2019,58,Ozone,Batavia,39-025-0022,AQS
8/8/2019,61,Ozone,Batavia,39-025-0022,AQS
8/9/2019,77,NO2,Cincinnati Near Road,39-061-0048,AQS
8/10/2019,61,Ozone,Batavia,39-025-0022,AQS
8/11/2019,71,Ozone,Colerain,39-061-0010,AQS
8/12/2019,87,Ozone,Lebanon,39-165-0007,AQS
8/13/2019,49,Ozone,Batavia,39-025-0022,AQS
8/14/2019,71,Ozone,Lebanon,39-165-0007,AQS
8/15/2019,50,Ozone,Batavia,39-025-0022,AQS
8/16/2019,97,Ozone,Lebanon,39-165-0007,AQS
8/17/2019,74,Ozone,Taft NCore,39-061-0040,AQS
8/18/2019,67,Ozone,Lebanon,39-165-0007,AQS
8/19/2019,105,Ozone,Sycamore,39-061-0006,AQS
8/20/2019,56,PM2.5,Cincinnati Near Road,39-061-0048,AQS
8/21/2019,71,Ozone,Batavia,39-025-0022,AQS
8/22/2019,40,Ozone,Batavia,39-025-0022,AQS
8/23/2019,40,PM2.5,Cincinnati Near Road,39-061-0048,AQS
