Date, AQI_Value,Main_Pollutant,Site_Name,Site_ID,Source
9/25/2019,49,Ozone,Notre Dame,39-055-0004,AQS
9/26/2019,40,Ozone,Notre Dame,39-055-0004,AQS
9/27/2019,51,PM2.5,Harvard Yards,39-035-0065,AQS
9/28/2019,44,Ozone,Notre Dame,39-055-0004,AQS
9/29/2019,31,Ozone,Chippewa,39-103-0004,AQS
9/30/2019,53,PM2.5,Harvard Yards,39-035-0065,AQS
10/1/2019,53,PM2.5,Cleveland Near Road,39-035-0073,AQS
10/2/2019,40,PM2.5,Cleveland Near Road,39-035-0073,AQS
10/3/2019,43,PM2.5,GT Craig NCore,39-035-0060,AQS
10/4/2019,25,Ozone,Eastlake,39-085-0003,AQS
10/5/2019,34,Ozone,Notre Dame,39-055-0004,AQS
10/6/2019,45,PM2.5,Harvard Yards,39-035-0065,AQS
10/7/2019,32,PM2.5,Cleveland Near Road,39-035-0073,AQS
10/8/2019,50,PM2.5,GT Craig NCore,39-035-0060,AQS
10/9/2019,54,PM2.5,Harvard Yards,39-035-0065,AQS
10/10/2019,39,Ozone,Notre Dame,39-055-0004,AQS
10/11/2019,44,Ozone,District 6,39-035-0034,AQS
10/12/2019,33,Ozone,Notre Dame,39-055-0004,AQS
10/13/2019,40,Ozone,Chippewa,39-103-0004,AQS
10/14/2019,31,Ozone,Chippewa,39-103-0004,AQS
10/15/2019,58,PM2.5,Harvard Yards,39-035-0065,AQS
10/16/2019,33,Ozone,Notre Dame,39-055-0004,AQS
10/17/2019,29,Ozone,Eastlake,39-085-0003,AQS
10/18/2019,30,Ozone,Chippewa,39-103-0004,AQS
10/19/2019,58,PM10,St Theodosius,39-035-0038,AQS
10/20/2019,51,PM2.5,Barr School,39-093-3002,AQS
10/21/2019,50,PM2.5,GT Craig NCore,39-035-0060,AQS
10/22/2019,35,Ozone,Notre Dame,39-055-0004,AQS
10/23/2019,39,PM2.5,GT Craig NCore,39-035-0060,AQS
10/24/2019,49,PM2.5,Harvard Yards,39-035-0065,AQS
10/25/2019,70,PM2.5,GT Craig NCore,39-035-0060,AQS
10/26/2019,65,PM2.5,GT Craig NCore,39-035-0060,AQS
10/27/2019,42,PM2.5,St Theodosius,39-035-0038,AQS
10/28/2019,45,PM2.5,Cleveland Near Road,39-035-0073,AQS
10/29/2019,52,PM2.5,Cleveland Near Road,39-035-0073,AQS
10/30/2019,58,PM2.5,GT Craig NCore,39-035-0060,AQS
10/31/2019,51,PM2.5,GT Craig NCore,39-035-0060,AQS
11/1/2019,52,PM2.5,GT Craig NCore,39-035-0060,AQS
11/2/2019,63,PM2.5,GT Craig NCore,39-035-0060,AQS
11/3/2019,43,PM2.5,GT Craig NCore,39-035-0060,AQS
11/4/2019,50,PM2.5,GT Craig NCore,39-035-0060,AQS
11/5/2019,52,PM2.5,GT Craig NCore,39-035-0060,AQS
11/6/2019,46,PM2.5,Cleveland Near Road,39-035-0073,AQS
11/7/2019,36,PM2.5,Cleveland Near Road,39-035-0073,AQS
11/8/2019,27,Ozone,GT Craig NCore,39-035-0060,AQS
11/9/2019,42,PM2.5,Chippewa,39-103-0004,AQS
11/10/2019,56,PM2.5,Cleveland Near Road,39-035-0073,AQS
11/11/2019,41,PM2.5,Chippewa,39-103-0004,AQS
11/12/2019,32,PM10,St Theodosius,39-035-0038,AQS
11/13/2019,30,PM2.5,Chippewa,39-103-0004,AQS
11/14/2019,55,PM2.5,Cleveland Near Road,39-035-0073,AQS
11/15/2019,79,PM2.5,Cleveland Near Road,39-035-0073,AQS
11/16/2019,33,PM2.5,Chippewa,39-103-0004,AQS
11/17/2019,55,PM2.5,Harvard Yards,39-035-0065,AQS
11/18/2019,52,PM2.5,GT Craig NCore,39-035-0060,AQS
11/19/2019,108,PM2.5,Cleveland Near Road,39-035-0073,AQS
11/20/2019,67,PM2.5,Barr School,39-093-3002,AQS
11/21/2019,58,PM2.5,GT Craig NCore,39-035-0060,AQS
11/22/2019,26,PM2.5,Cleveland Near Road,39-035-0073,AQS
11/23/2019,51,PM2.5,Cleveland Near Road,39-035-0073,AQS
11/24/2019,60,PM2.5,Cleveland Near Road,39-035-0073,AQS
11/25/2019,54,PM2.5,Cleveland Near Road,39-035-0073,AQS
11/26/2019,60,PM2.5,Harvard Yards,39-035-0065,AQS
11/27/2019,43,PM2.5,Chippewa,39-103-0004,AQS
11/28/2019,27,Ozone,GT Craig NCore,39-035-0060,AQS
11/29/2019,26,Ozone,GT Craig NCore,39-035-0060,AQS
11/30/2019,45,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/1/2019,23,Ozone,GT Craig NCore,39-035-0060,AQS
12/2/2019,30,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/3/2019,43,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/4/2019,59,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/5/2019,45,PM2.5,Harvard Yards,39-035-0065,AQS
12/6/2019,38,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/7/2019,31,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/8/2019,60,PM2.5,Harvard Yards,39-035-0065,AQS
12/9/2019,29,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/10/2019,52,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/11/2019,45,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/12/2019,62,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/13/2019,67,PM10,St Theodosius,39-035-0038,AQS
12/14/2019,72,PM2.5,Barr School,39-093-3002,AQS
12/15/2019,56,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/16/2019,74,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/17/2019,57,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/18/2019,51,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/19/2019,43,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/20/2019,79,PM2.5,St Theodosius,39-035-0038,AQS
12/21/2019,77,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/22/2019,66,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/23/2019,59,PM2.5,Harvard Yards,39-035-0065,AQS
12/24/2019,87,PM2.5,GT Craig NCore,39-035-0060,AQS
12/25/2019,57,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/26/2019,55,PM2.5,St Theodosius,39-035-0038,AQS
12/27/2019,62,PM2.5,Cleveland Near Road,39-035-0073,AQS
12/28/2019,78,PM2.5,Chippewa,39-103-0004,AQS
12/29/2019,65,PM2.5,St Theodosius,39-035-0038,AQS
12/30/2019,25,Ozone,GT Craig NCore,39-035-0060,AQS
12/31/2019,27,PM2.5,Cleveland Near Road,39-035-0073,AQS
